

|Skills        |Group     |  T| T6_9| T9_12| T12_15| T15_18| T18_21| T21_24| T24_27|
|databricks    |60 - 90   |       7|    7|    19|     28|     NA|     NA|     NA|     NA|
|scikit-learn  |60 - 90   |       6|    6|     6|     12|      4|     NA|     NA|     NA|
|qlik          |60 - 90   |       6|    6|    17|      5|     NA|     NA|     NA|     NA|
|linux         |60 - 90   |       6|    6|    24|     NA|      6|     NA|     NA|     NA|
|jupyter       |60 - 90   |       6|    6|     7|      6|      2|     NA|     NA|     NA|
|terraform     |60 - 90   |       5|    5|    19|     13|      1|     NA|     NA|     NA|
|ssis          |60 - 90   |       5|    5|     6|      4|      2|     NA|     NA|     NA|
|ruby          |60 - 90   |       5|    5|     1|     NA|      2|     NA|     NA|     NA|
|nosql         |60 - 90   |       5|    5|    26|      6|      8|     NA|     NA|     NA|
|mysql         |60 - 90   |       5|    5|     2|     12|      2|     NA|     NA|     NA|
|jira          |60 - 90   |       5|    5|    15|     11|      1|     NA|     NA|     NA|
|git           |60 - 90   |       5|    5|    29|     16|      3|     NA|     NA|     NA|
|confluence    |60 - 90   |       5|    5|     2|      4|      2|     NA|     NA|     NA|
|assembly      |60 - 90   |       5|    5|    NA|      1|     NA|     NA|     NA|     NA|
|ansible       |60 - 90   |       5|    5|     5|      2|      1|     NA|     NA|     NA|
|vba           |60 - 90   |       4|    4|     7|     NA|     NA|     NA|     NA|     NA|
|tableau       |60 - 90   |       4|    4|    54|     11|     NA|     NA|     NA|     NA|
|sql server    |60 - 90   |       4|    4|    13|     10|      2|     NA|     NA|     NA|
|react         |60 - 90   |       4|    4|     9|      3|      1|      1|     NA|     NA|
|node.js       |60 - 90   |       4|    4|     6|     NA|     NA|     NA|     NA|     NA|
|html          |60 - 90   |       4|    4|     4|     NA|      2|     NA|     NA|     NA|
|hadoop        |60 - 90   |       4|    4|    20|     12|      5|     NA|     NA|     NA|
|golang        |60 - 90   |       4|    4|    NA|      1|      1|     NA|     NA|     NA|
|gdpr          |60 - 90   |       4|    4|    13|     10|      2|     NA|     NA|     NA|
|flow          |60 - 90   |       4|    4|    19|      7|      2|     NA|     NA|     NA|
|elasticsearch |60 - 90   |       4|    4|     6|      8|     NA|     NA|     NA|     NA|
|c#            |60 - 90   |       4|    4|    16|      5|      1|     NA|     NA|     NA|
|bitbucket     |60 - 90   |       4|    4|    NA|      3|      2|     NA|     NA|     NA|
|alteryx       |60 - 90   |       4|    4|     1|      2|     NA|     NA|     NA|     NA|
|unify         |60 - 90   |       3|    3|     3|     NA|      1|     NA|     NA|     NA|
|sheets        |60 - 90   |       3|    3|     2|     NA|     NA|     NA|     NA|     NA|
|seaborn       |60 - 90   |       3|    3|     1|     NA|      1|     NA|     NA|     NA|
|postgresql    |60 - 90   |       3|    3|     5|     13|      4|     NA|     NA|     NA|
|php           |60 - 90   |       3|    3|    NA|     NA|      1|     NA|     NA|     NA|
|outlook       |60 - 90   |       3|    3|     3|     NA|     NA|     NA|     NA|     NA|
|opencv        |60 - 90   |       3|    3|     1|     NA|      1|     NA|      1|      1|
|neo4j         |60 - 90   |       3|    3|     2|     NA|      1|     NA|     NA|     NA|
|mongodb       |60 - 90   |       3|    3|    14|      4|     NA|      2|     NA|     NA|
|css           |60 - 90   |       3|    3|     5|     NA|      2|     NA|     NA|     NA|
|cassandra     |60 - 90   |       3|    3|     3|     NA|      2|     NA|     NA|     NA|
|angular       |60 - 90   |       3|    3|     5|     NA|     NA|      1|     NA|     NA|
|yarn          |60 - 90   |       2|    2|     1|     NA|     NA|     NA|     NA|     NA|
|vue.js        |60 - 90   |       2|    2|    NA|     NA|     NA|     NA|     NA|     NA|
|typescript    |60 - 90   |       2|    2|     3|      2|     NA|     NA|     NA|     NA|
|t-sql         |60 - 90   |       2|    2|    NA|     NA|      4|     NA|     NA|     NA|
|ssrs          |60 - 90   |       2|    2|     3|     NA|      1|     NA|     NA|     NA|
|spring        |60 - 90   |       2|    2|     1|      1|     NA|     NA|     NA|     NA|
|redis         |60 - 90   |       2|    2|     1|      4|     NA|     NA|     NA|     NA|
|r             |60 - 90   |       2|    2|    57|      3|     NA|     NA|     NA|     NA|
|puppet        |60 - 90   |       2|    2|    NA|      1|     NA|     NA|     NA|     NA|
|pulumi        |60 - 90   |       2|    2|     2|     NA|     NA|     NA|     NA|     NA|
|powershell    |60 - 90   |       2|    2|    NA|      2|     NA|     NA|     NA|     NA|
|perl          |60 - 90   |       2|    2|     2|     NA|      2|     NA|     NA|     NA|
|matplotlib    |60 - 90   |       2|    2|     9|      7|      2|      1|     NA|     NA|
|kotlin        |60 - 90   |       2|    2|     1|     NA|      1|     NA|     NA|     NA|
|keras         |60 - 90   |       2|    2|    13|     NA|      6|      2|     NA|     NA|
|julia         |60 - 90   |       2|    2|     7|      2|     NA|     NA|     NA|     NA|
|github        |60 - 90   |       2|    2|    18|      5|      5|      1|     NA|     NA|
|dax           |60 - 90   |       2|    2|     7|      3|      1|     NA|     NA|     NA|
|bigquery      |60 - 90   |       2|    2|    15|     19|      1|      1|     NA|     NA|
|atlassian     |60 - 90   |       2|    2|     2|     NA|      4|     NA|     NA|     NA|
|zoom          |60 - 90   |       1|    1|     2|     NA|     NA|     NA|     NA|     NA|
|windows       |60 - 90   |       1|    1|    14|      2|     NA|     NA|     NA|     NA|
|visio         |60 - 90   |       1|    1|     2|      3|     NA|     NA|     NA|     NA|
|unreal        |60 - 90   |       1|    1|     2|     NA|     NA|     NA|     NA|     NA|
|ubuntu        |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|trello        |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|symphony      |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|swift         |60 - 90   |       1|    1|     3|     NA|      1|     NA|     NA|     NA|
|svn           |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|spss          |60 - 90   |       1|    1|     2|     NA|     NA|     NA|     NA|     NA|
|spreadsheet   |60 - 90   |       1|    1|     1|     NA|     NA|     NA|     NA|     NA|
|snowflake     |60 - 90   |       1|    1|    15|     34|      1|     NA|     NA|     NA|
|slack         |60 - 90   |       1|    1|     3|      2|      2|      1|     NA|     NA|
|sharepoint    |60 - 90   |       1|    1|     3|     NA|     NA|     NA|     NA|     NA|
|selenium      |60 - 90   |       1|    1|     1|     NA|     NA|     NA|     NA|     NA|
|redshift      |60 - 90   |       1|    1|    10|     20|      5|     NA|     NA|     NA|
|plotly        |60 - 90   |       1|    1|     2|     NA|      4|     NA|     NA|     NA|
|phoenix       |60 - 90   |       1|    1|     1|     NA|      1|     NA|     NA|     NA|
|pascal        |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|pandas        |60 - 90   |       1|    1|    15|     25|      1|     NA|     NA|     NA|
|openstack     |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|no-sql        |60 - 90   |       1|    1|     1|     NA|     NA|     NA|     NA|     NA|
|nltk          |60 - 90   |       1|    1|     2|     NA|      1|     NA|     NA|     NA|
|microstrategy |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|mariadb       |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|looker        |60 - 90   |       1|    1|    18|     29|      1|     NA|     NA|     NA|
|jquery        |60 - 90   |       1|    1|     1|     NA|      2|     NA|     NA|     NA|
|groovy        |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|graphql       |60 - 90   |       1|    1|     4|     NA|     NA|     NA|     NA|     NA|
|fastapi       |60 - 90   |       1|    1|     2|      2|      3|     NA|     NA|     NA|
|dynamodb      |60 - 90   |       1|    1|     2|     NA|      2|     NA|     NA|     NA|
|docker        |60 - 90   |       1|    1|    39|     16|      2|     NA|     NA|     NA|
|datarobot     |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|cognos        |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|centos        |60 - 90   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|c             |60 - 90   |       1|    1|     5|      2|      3|     NA|      1|     NA|
|asana         |60 - 90   |       1|    1|    NA|     NA|      1|     NA|     NA|     NA|
|express       |30 - 60   |       6|   NA|    10|     NA|     NA|     NA|     NA|     NA|
|powerpoint    |30 - 60   |       5|    9|     4|     NA|     NA|     NA|      1|     NA|
|cognos        |30 - 60   |       4|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|airflow       |30 - 60   |       4|   NA|    17|     36|      2|     NA|     NA|     NA|
|vba           |30 - 60   |       3|    4|     7|     NA|     NA|     NA|     NA|     NA|
|slack         |30 - 60   |       3|    1|     3|      2|      2|      1|     NA|     NA|
|sheets        |30 - 60   |       3|    3|     2|     NA|     NA|     NA|     NA|     NA|
|jenkins       |30 - 60   |       3|    9|    10|      7|      5|     NA|     NA|     NA|
|yarn          |30 - 60   |       2|    2|     1|     NA|     NA|     NA|     NA|     NA|
|typescript    |30 - 60   |       2|    2|     3|      2|     NA|     NA|     NA|     NA|
|perl          |30 - 60   |       2|    2|     2|     NA|      2|     NA|     NA|     NA|
|opencv        |30 - 60   |       2|    3|     1|     NA|      1|     NA|      1|      1|
|mongodb       |30 - 60   |       2|    3|    14|      4|     NA|      2|     NA|     NA|
|matlab        |30 - 60   |       2|   10|     2|      8|     NA|     NA|     NA|     NA|
|keras         |30 - 60   |       2|    2|    13|     NA|      6|      2|     NA|     NA|
|groovy        |30 - 60   |       2|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|c++           |30 - 60   |       2|   NA|    17|      9|     NA|      1|      1|     NA|
|zoom          |30 - 60   |       1|    1|     2|     NA|     NA|     NA|     NA|     NA|
|word          |30 - 60   |       1|    7|     7|      3|     NA|     NA|     NA|     NA|
|windows       |30 - 60   |       1|    1|    14|      2|     NA|     NA|     NA|     NA|
|vue           |30 - 60   |       1|   NA|     2|     NA|     NA|      1|     NA|     NA|
|visio         |30 - 60   |       1|    1|     2|      3|     NA|     NA|     NA|     NA|
|unity         |30 - 60   |       1|   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|tidyverse     |30 - 60   |       1|   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|terraform     |30 - 60   |       1|    5|    19|     13|      1|     NA|     NA|     NA|
|ssis          |30 - 60   |       1|    5|     6|      4|      2|     NA|     NA|     NA|
|spss          |30 - 60   |       1|    1|     2|     NA|     NA|     NA|     NA|     NA|
|spring        |30 - 60   |       1|    2|     1|      1|     NA|     NA|     NA|     NA|
|spreadsheet   |30 - 60   |       1|    1|     1|     NA|     NA|     NA|     NA|     NA|
|solidity      |30 - 60   |       1|   NA|    NA|      1|     NA|     NA|     NA|     NA|
|sharepoint    |30 - 60   |       1|    1|     3|     NA|     NA|     NA|     NA|     NA|
|seaborn       |30 - 60   |       1|    3|     1|     NA|      1|     NA|     NA|     NA|
|rust          |30 - 60   |       1|   NA|     1|     NA|      1|     NA|     NA|      1|
|ruby          |30 - 60   |       1|    5|     1|     NA|      2|     NA|     NA|     NA|
|redis         |30 - 60   |       1|    2|     1|      4|     NA|     NA|     NA|     NA|
|react         |30 - 60   |       1|    4|     9|      3|      1|      1|     NA|     NA|
|qlik          |30 - 60   |       1|    6|    17|      5|     NA|     NA|     NA|     NA|
|pyspark       |30 - 60   |       1|   NA|    10|     18|      2|     NA|     NA|     NA|
|puppet        |30 - 60   |       1|    2|    NA|      1|     NA|     NA|     NA|     NA|
|powershell    |30 - 60   |       1|    2|    NA|      2|     NA|     NA|     NA|     NA|
|postgresql    |30 - 60   |       1|    3|     5|     13|      4|     NA|     NA|     NA|
|php           |30 - 60   |       1|    3|    NA|     NA|      1|     NA|     NA|     NA|
|node.js       |30 - 60   |       1|    4|     6|     NA|     NA|     NA|     NA|     NA|
|node          |30 - 60   |       1|   NA|    NA|      1|     NA|     NA|     NA|     NA|
|mxnet         |30 - 60   |       1|   NA|    NA|      1|     NA|     NA|     NA|     NA|
|mongo         |30 - 60   |       1|   NA|     1|      1|      1|     NA|     NA|     NA|
|microstrategy |30 - 60   |       1|    1|    NA|     NA|     NA|     NA|     NA|     NA|
|linux         |30 - 60   |       1|    6|    24|     NA|      6|     NA|     NA|     NA|
|kubernetes    |30 - 60   |       1|    9|    24|     14|      3|     NA|     NA|     NA|
|javascript    |30 - 60   |       1|   10|    11|      2|      1|     NA|     NA|     NA|
|html          |30 - 60   |       1|    4|     4|     NA|      2|     NA|     NA|     NA|
|graphql       |30 - 60   |       1|    1|     4|     NA|     NA|     NA|     NA|     NA|
|github        |30 - 60   |       1|    2|    18|      5|      5|      1|     NA|     NA|
|flutter       |30 - 60   |       1|   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|firestore     |30 - 60   |       1|   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|elixir        |30 - 60   |       1|   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|elasticsearch |30 - 60   |       1|    4|     6|      8|     NA|     NA|     NA|     NA|
|dax           |30 - 60   |       1|    2|     7|      3|      1|     NA|     NA|     NA|
|css           |30 - 60   |       1|    3|     5|     NA|      2|     NA|     NA|     NA|
|c#            |30 - 60   |       1|    4|    16|      5|      1|     NA|     NA|     NA|
|c             |30 - 60   |       1|    1|     5|      2|      3|     NA|      1|     NA|
|blazor        |30 - 60   |       1|   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|bash          |30 - 60   |       1|   10|    NA|      2|      1|     NA|     NA|      1|
|assembly      |30 - 60   |       1|    5|    NA|      1|     NA|     NA|     NA|     NA|
|ansible       |30 - 60   |       1|    5|     5|      2|      1|     NA|     NA|     NA|
|angular       |30 - 60   |       1|    3|     5|     NA|     NA|      1|     NA|     NA|
##------ Thu Dec  5 17:24:18 2024 ------##
[1] "Europe/Paris"
[1] "YoJoseParra"
